"DATA_YEAR","WEAPON_ID","OFFENSE_ID","NIBRS_WEAPON_ID"
2017,18,115913115,20583452
2017,12,115913176,20583466
2017,12,115913362,20583503
2017,12,115913748,20583587
2017,12,110332161,19396334
2017,12,110332215,19396344
2017,12,110332247,19396354
2017,2,110332556,19396420
2017,20,110332740,19396473
2017,12,110333158,19396549
2017,18,110333158,19396548
2017,3,110333457,19396612
2017,12,110334470,19396744
2017,12,110335880,19396953
2017,20,110335905,19396960
2017,12,110336181,19397005
2017,12,110336267,19397021
2017,12,110337872,19397345
2017,12,110337963,19397360
2017,16,110339965,19397688
2017,12,115818466,20561299
2017,3,115818665,20561340
2017,10,115820510,20561684
2017,12,115820698,20561727
2017,10,115820807,20561752
2017,9,115821144,20561847
2017,18,115821607,20561966
2017,12,115822426,20562165
2017,12,115822732,20562224
2017,12,115823309,20562359
2017,12,115823495,20562408
2017,12,115823513,20562411
2017,12,115824348,20562581
2017,12,115824386,20562589
2017,12,115824649,20562637
2017,18,115825413,20562798
2017,20,115825825,20562902
2017,12,115825903,20562928
2017,12,115825959,20562948
2017,3,115825962,20562949
2017,12,115826423,20563051
2017,12,115826470,20563063
2017,3,115826547,20563078
2017,12,115826771,20563120
2017,12,115827132,20563186
2017,20,115828576,20563511
2017,20,115828665,20563532
2017,12,115828691,20563538
2017,12,115829068,20563594
2017,12,115829139,20563610
2017,12,115829565,20563686
2017,12,115829642,20563698
2017,12,115829823,20563740
2017,2,115829849,20563746
2017,10,115830012,20563788
2017,12,115830123,20563809
2017,12,115830326,20563855
2017,20,115830389,20563870
2017,12,115830480,20563890
2017,12,115830489,20563892
2017,12,115830512,20563896
2017,12,110273086,19385977
2017,12,110274010,19386189
2017,12,110274003,19386188
2017,19,110274407,19386249
2017,12,110274496,19386266
2017,12,110274956,19386340
2017,5,110275063,19386366
2017,12,110275061,19386365
2017,18,110276745,19386732
2017,9,110277093,19386793
2017,2,110277585,19386874
2017,12,110278526,19387067
2017,18,110280354,19387495
2017,2,110280755,19387592
2017,12,110286337,19388815
2017,10,110288017,19389076
2017,19,110288020,19389077
2017,12,110288949,19389260
2017,12,110290053,19389484
2017,12,110301081,19391089
2017,18,110301205,19391122
2017,12,110301355,19391165
2017,12,110302688,19391408
2017,3,110302949,19391441
2017,12,110303248,19391491
2017,12,110304436,19391730
2017,12,110304660,19391767
2017,3,110304854,19391808
2017,12,110305825,19391947
2017,12,110306141,19391995
2017,12,110308459,19392424
2017,19,110309895,19392621
2017,18,110310009,19392645
2017,12,110310291,19392719
2017,12,110312759,19393210
2017,12,110313073,19393271
2017,12,110313203,19393294
2017,12,116446528,20699411
2017,2,116446680,20699457
2017,12,116446711,20699466
2017,12,116447164,20699584
2017,12,116447250,20699608
