N,DATA_YEAR,ARRESTEE_ID,INCIDENT_ID,ARREST_DATE,MULTIPLE_INDICATOR,AGE_NUM,SEX_CODE,ARREST_TYPE_NAME,OFFENSE_NAME,CRIME_AGAINST,OFFENSE_CATEGORY_NAME,OFFENSE_GROUP,RACE_DESC,AGENCY_ID,NIBRS_MONTH_ID,SUBMISSION_DATE,INCIDENT_DATE,INCIDENT_HOUR
4379,2017,26533375,90887239,21-JUL-17,N,14,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7590966,17-AUG-18,12-JUN-17,14
4380,2017,26533475,90887522,22-JUL-17,N,36,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9963,7608372,17-AUG-18,22-JUL-17,13
4381,2017,26538672,90900772,14-JUL-17,N,30,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,Black or African American,10161,7470113,17-AUG-18,14-JAN-17,4
4382,2017,26538930,90901681,12-MAY-17,N,28,M,Taken INTO Custody,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,10161,7554121,17-AUG-18,01-APR-17,17
4383,2017,26539426,90903771,18-MAY-17,C,46,M,On View,Burglary/Breaking & Entering,Property,Burglary/Breaking & Entering,A,White,10161,7576189,17-AUG-18,18-MAY-17,22
4384,2017,26539770,90904962,27-JUL-17,N,18,F,On View,Robbery,Property,Robbery,A,White,10161,7589915,17-AUG-18,03-JUN-17,3
4385,2017,26693535,91357270,02-JAN-17,N,41,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,10043,7556573,17-AUG-18,01-JAN-17,23
4386,2017,26693541,91357298,06-JAN-17,N,37,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,10043,7556573,17-AUG-18,06-JAN-17,19
4387,2017,26544226,90920958,10-JUL-17,N,23,M,Summoned / Cited,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,10161,7606864,17-AUG-18,10-JUL-17,6
4388,2017,26544772,90922851,16-JUL-17,N,21,M,On View,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,10161,7606864,17-AUG-18,16-JUL-17,5
4389,2017,28545643,97031862,29-APR-17,C,24,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7554121,20-AUG-18,29-APR-17,19
4390,2017,28545655,97031900,29-APR-17,C,49,M,Summoned / Cited,All Other Larceny,Property,Larceny/Theft Offenses,A,Black or African American,10161,7554121,20-AUG-18,29-APR-17,23
4391,2017,26694309,91358747,14-JUN-17,N,24,M,On View,Shoplifting,Property,Larceny/Theft Offenses,A,Black or African American,9963,7578236,17-AUG-18,25-MAY-17,17
4392,2017,26692515,91353872,03-AUG-17,N,27,M,Taken INTO Custody,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,Black or African American,9739,7659554,17-AUG-18,03-AUG-17,12
4393,2017,26693009,91355603,29-JUL-17,C,60,F,On View,Shoplifting,Property,Larceny/Theft Offenses,A,White,9964,7631827,17-AUG-18,29-JUL-17,19
4394,2017,26693133,91355952,25-MAY-17,N,48,F,Taken INTO Custody,Destruction/Damage/Vandalism of Property,Property,Destruction/Damage/Vandalism of Property,A,White,9962,7589237,17-AUG-18,25-MAY-17,17
