"DATA_YEAR.x" "INCIDENT_ID" "PROP_LOSS_NAME" "PROP_LOSS_DESC" "PROPERTY_VALUE" "PROP_DESC_NAME"
"196" 2017 88884955 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"197" 2017 88885007 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"198" 2017 88885031 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"199" 2017 88430724 "Destroyed/Damaged/Vandalized" "Destroyed/Damaged/Vandalized" 1 "Vehicle Parts"
"200" 2017 88430743 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"201" 2017 88430760 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"202" 2017 88430822 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 400 "Household Goods"
"203" 2017 88430838 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 83 "Merchandise"
"204" 2017 88430846 "Counterfeited/Forged" "Counterfeited/Forged" 1870 "Negotiable Instruments"
"205" 2017 89854066 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 1 "Other"
"206" 2017 89854143 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 0 "Credit/ Debit cards"
"207" 2017 89854373 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"208" 2017 89854373 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
"209" 2017 88430694 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"210" 2017 88430710 "Stolen/Etc" "Stolen/Etc. (includes bribed, defrauded, embezzled, extorted, ransomed, robbed, etc.)" 700 "Radio/ TV/ VCR"
"211" 2017 88430725 "Seized" "Seized (to impound property that was not previously stolen)" NA "Drugs/ Narcotics"
"212" 2017 88430725 "Seized" "Seized (to impound property that was not previously stolen)" 100 "Firearms"
"213" 2017 88884820 "Seized" "Seized (to impound property that was not previously stolen)" 1 "Drug Equipment"
