"DATA_YEAR","SUSPECTED_DRUG_TYPE_ID","PROPERTY_ID","EST_DRUG_QTY","DRUG_MEASURE_TYPE_ID","NIBRS_SUSPECTED_DRUG_ID"
2017,17,97554787,,,8137875
2017,8,97623321,2,9,8149769
2017,5,97623321,0.03,3,8149770
2017,5,97662769,0.1,3,8156069
2017,12,97662769,3.8,1,8156070
2017,5,97594462,0.085,3,8144141
2017,8,97594462,0.06,1,8144142
2017,1,97602381,0.4,1,8145766
2017,5,97617383,,,8148276
2017,2,97617383,,,8148274
2017,10,97621954,0.001,1,8149467
2017,11,97537960,3.77,1,8135422
2017,2,97540190,0.48,1,8135665
2017,5,97611589,2,1,8147234
2017,5,101795481,0.1,1,8769088
2017,5,101799042,0.7,1,8769420
2017,12,97635082,0.5,1,8151963
2017,5,97557297,0.5,3,8138375
2017,1,97652211,0.2,1,8154782
2017,5,97654451,0.685,3,8155059
2017,5,97662489,1.06,3,8156048
2017,5,97678011,0.08,3,8157825
2017,5,97684364,0.325,3,8158184
2017,12,97670193,0.4,1,8156871
2017,5,97670719,1.43,3,8156930
2017,12,97670895,0.2,1,8156950
2017,12,97694090,0.1,1,8159730
2017,15,97694706,15.5,9,8159934
2017,18,97694706,,,8159937
2017,16,97694706,5,9,8159933
2017,5,97579454,6,1,8141654
2017,1,97581632,0.07,1,8141937
2017,5,97583613,0.7,1,8142245
2017,12,97583613,0.8,1,8142244
2017,16,97566700,,,8139692
2017,5,97566918,,,8139725
2017,5,97579416,28.4,1,8141646
2017,1,97644986,4.5,1,8153885
2017,16,97496823,1,9,8129683
2017,16,97496823,9.6,1,8129684
2017,12,97537145,0.1,1,8135331
2017,5,97537145,0.58,1,8135330
2017,8,97647201,0.1,3,8154160
2017,5,97651108,0.485,3,8154659
2017,2,97611949,1.5,1,8147332
2017,5,97693342,0.059,3,8159576
2017,16,97701527,2,9,8160795
2017,16,97703558,5,9,8161050
2017,17,97703558,20,9,8161051
2017,17,97553441,,,8137579
2017,4,97670991,0.8,1,8156955
2017,5,97674305,1.395,3,8157340
2017,12,97676490,1,1,8157624
2017,2,97716466,1,11,8163214
