ПП 2016,ПП 2015,Наименование компании,Бренды,Сайт,Ключевые собственники,Регион,Отрасль,"Вырчука, 2016 г.","Выручка, 2015 г.",Чистая прибыль 2016 г.,Чистая прибыль 2015 г.,Налог на прибыль 2016 г.,Налог на прибыль 2015 г.,"Оплата труда, 2016 г.","Оплата труда, 2015 г.","Инвестиции в ОС, 2016 г.","Инвестиции в ОС, 2015 г."
127,161,Дом одежды,Zenden,zenden.ru,Павлов А.В.,Нов. Обл.,Fashion ритейл,10857,7839,849,542,213,138,254,170,4,0
128,147,ПКП Титан,NA,titangroup.ru,Иностранные компании (Кипр),Арх. Обл.,Деревообрабатывающая промышленность,10668,8779,675,185,90,19,116,101,167,206
129,128,ЮПМNAКЮММЕНЕ,UPM,upmNAkymmene.com,"UPMNAKYMMENE, Финляндия",СПб,Деревообрабатывающая промышленность,10570,10074,102,327,72,129,215,220,7,27
130,158,В КОНТАКТЕ,Вконтакте,vk.com,"МЭЙЛ.РУ ГРУП, ООО",СПб,IT и приборостроение,10529,7943,3039,1910,762,495,520,490,135,792
131,154,Август,oodji,oodji.com,Гарбузов Д.И.,СПб,Легкая промышленность,10522,8265,549,1284,0,0,1124,1274,21,13
132,115,ЭнергоNAСтрой,NA,energostroy.ru,Иностранная компания (ЕС),СПб,Промышленное строительство,10364,10893,555,110,133,22,1122,666,0,0
133,172,ТД Экополимеры,ekopet,ekopet.ru,Группа Сафмар,Калин. Обл.,Химическая промышленность,10350,7255,355,NA660,0,0,60,75,0,0
134,112,Призма,Prisma,prismamarket.ru,SOK Retail Int. Oy (Финляндия),СПб,FMCG ритейл,10183,11101,NA565,NA748,0,0,576,673,41,24
135,NA,Комплексные энергетические решения,NA,cNAes.org,"Макарова Т.В., Тюменев В.А.",СПб,Промышленное строительство,10167,2835,55,6,34,11,586,115,17,0
136,113,Мурманский Траловый Флот,NA,mtf.ru,NA,Мурм. Обл.,Морской транспорт,10121,10945,2161,1400,507,522,1364,1671,444,173
137,143,Минимакс,Минимакс,minimaks.ru,Петров А.А.,СПб,Торговля электрооборудованием,10058,9048,403,302,105,87,884,592,7,7
138,159,Великолукский свиноводческий комплекс,NA,NA,Граждане России,Псков. Обл.,АПК,10047,7931,2949,1884,2,0,145,108,3281,4587
139,149,Концерн НПО Аврора,NA,avrorasystems.com,РФ (субъект РФ),СПб,IT и приборостроение,10012,8728,705,621,170,48,2958,3660,399,606
140,165,ДЛNAТранс,NA,dlNAtrans.ru,Иностранные компании (Кипр),СПб,Автотранспорт,9960,7765,215,76,41,44,1432,822,92,35
141,134,Тиккурила,"Tikkurila, FinnColor",finncolor.ru,Tikkurila Oyj (Финляндия),СПб,Химическая промышленность,9939,9604,NA80,NA55,36,9,929,858,136,169
142,177,Питерформ,Cosma,NA,Cosym Holding AG (Австрия),СПб,Автомобилестроение,9921,7149,21,144,40,11,943,828,4981,1781
143,145,РКСNAэнерго,NA,rksNAenergo.ru,"Бобылев Н.Ю., Халиков Р.Ш.",Лен. Обл.,Энергоснабжение,9908,8895,108,95,18,35,174,246,0,0
144,NA,ЦФ Руссия,ZF,zf.com,ZF FRIEDRICHSHAFEN AG (Германия),СПб,Торговля автомобилями,9863,6058,354,76,92,22,125,4,110,2
145,104,Атомпроект,NA,atomproekt.com,Росатом,СПб,Промышленное строительство,9768,12027,1105,NA1647,121,41,4084,5057,175,143
146,133,Амкор ТП Новгород,Amcor,amcor.com,Корпорация Amcor,Нов. Обл.,Деревообрабатывающая промышленность,9735,9605,2191,2011,561,515,410,358,146,247
147,129,Сыктывкарский фанерный завод,NA,sevnb.ru,Иностранные компании (Кипр),Коми,Производство строительных материалов,9724,10020,1855,2336,421,492,912,854,251,280
148,189,Инчкейп Олимп,NA,toyotaNAdealer.ru,Иностранная компания (Нидерланды),СПб,Торговля автомобилями,9697,6820,NA419,74,61,25,374,376,32,31
149,139,АЭМNAтехнологии,Атомэнергомаш,aemtech.ru,Росатом,СПб,Энергомашиностроение,9649,9138,NA2514,NA3128,396,509,2534,2384,266,739
